"id","mesor_mean","mesor_median","mesor_ci_width","si_mean","si_median","si_ci_width","co_mean","co_median","co_ci_width","amp_mean","amp_median","amp_ci_width","sigma2_mean","sigma2_median","sigma2_ci_width","log_sigma_mean","log_sigma_median","log_sigma_ci_width","phi_mean","phi_median","phi_ci_width","phi.begins6_mean","phi.begins6_median","phi.begins6_ci_width","phi.begins12_mean","phi.begins12_median","phi.begins12_ci_width","phi_circ_mean","phi_circ_median","phi_circ_ci_width","phi.begins6_circ_mean","phi.begins6_circ_median","phi.begins6_circ_ci_width","phi.begins12_circ_mean","phi.begins12_circ_median","phi.begins12_circ_ci_width"
121,1.90554426748667,1.91665,14.264894,-0.369479962143667,-0.174435,9.20038175,1.000994418174,1.0347,10.81130475,3.14805605107949,2.83674605299195,7.13887643259871,2.43516650157037,2.39801185682683,1.62504653543417,0.437786891666667,0.43732,0.328513275,3.41610448630257,3.63329611151481,6.20807685336529,3.58784488469881,4.05291410674982,5.70352019935159,2.99303667561914,3.00774427127819,6.01563135740325,5.9406543882946,6.02438321247302,5.86723278156214,4.3698580614997,4.45358688567813,5.86723278156214,2.7990617347048,2.88279055888323,5.86723278156214
122,14.0624927401667,14.0364,12.4345245,0.54864911347225,0.245439,9.02457,0.3768806527755,0.4098055,10.35226725,2.95540719753034,2.65221497349721,6.88705586979747,1.41280506176991,1.38356707685438,1.0051965597968,0.164519799653,0.1623325,0.349546296,2.87822414176117,2.79363311531826,6.15635837982456,3.36307660796519,3.82324678075104,5.91578180945271,3.39553973205229,3.44818466522277,6.09741418099475,0.977093374279509,0.990915820838566,5.68622470456927,5.6894823546642,5.70330480122326,5.68622470456927,4.1186860278693,4.13250847442836,5.68622470456927
123,3.053365435795,3.032455,13.6064065,0.773800178992333,0.3668545,9.60629125,0.0771568285258333,0.135741,10.435638,3.02644526341384,2.69193321842026,7.20679533922254,1.80090223692928,1.77271984035893,1.21701471806586,0.286727185765,0.2862575,0.334190875,2.78162262497993,2.66976887133725,6.12698461816511,3.27904146179832,3.50642645930573,6.01969101180326,3.51989689857354,3.70228476675405,6.15484091744092,1.47857629918034,1.42373627825041,5.57059619942086,6.19096527956503,6.1361252586351,5.57059619942086,4.62016895277013,4.5653289318402,5.57059619942086
124,2.56780226294917,2.5778,13.047819,-0.0606822338718332,-0.02419335,9.0603035,0.828783109495667,0.801933,10.087102,2.96372583189938,2.6763976013067,6.66038408736059,1.75507955078205,1.72095952983326,1.21961122491663,0.273643351233333,0.271441,0.3423187,3.20495260038772,3.19466652768436,6.19449083491213,3.51597027309311,4.02921068804992,5.79987923740137,3.12327119139438,3.12378327843585,6.06460081719566,6.17789883719186,6.23924689135693,6.05647509724322,4.60710251039696,4.66845056456203,6.05647509724322,3.03630618360206,3.09765423776714,6.05647509724322
125,-14.3897438583333,-14.4417,10.23389025,0.584049774367167,0.3527235,8.77849249999999,-1.58553647646183,-1.60453,9.20163575,3.07322468177174,2.85520104278013,6.75869245073749,0.844951080340211,0.829761059303792,0.579001447738914,-0.0920211766848333,-0.09330875,0.33948496,2.84518358382285,2.94315683198438,5.63218875960835,2.29540486944464,1.65932984944376,5.98430478182626,3.53319237495902,4.37075930464886,6.21275305411556,2.78827381370377,2.90261549670593,5.48121922376212,1.21747748690887,1.33181916991103,5.48121922376212,5.92986646729356,6.04420815029572,5.48121922376212
126,-16.0281153633333,-16.05855,10.9266375,-0.70872671298,-0.528339,9.40073725,2.641360192675,2.621515,9.38436,3.78528545797181,3.61330154860409,7.44372746728045,0.886312187531603,0.868613080280447,0.630973427728729,-0.0680740021312483,-0.07042875,0.34894175,3.66891904328404,4.9276016780931,6.22736704926447,4.17680985561439,4.44572595074333,4.73580953932357,2.86676571906745,2.94924983938581,4.75700284387627,5.99558374340292,6.07640187491001,4.6595792805968,4.42478741660802,4.50560554811511,4.6595792805968,2.85399108981312,2.93480922132022,4.6595792805968
127,0.4658092518115,0.409644,13.04435475,0.855287127337383,0.518636,9.30309825,-1.33614476678267,-1.302595,10.69258825,3.28139320364869,2.94528775056302,7.51706780364459,1.81822630967873,1.78917925879049,1.19213368197043,0.2920211485,0.2908785,0.321791625,2.80366691098042,2.82574213438497,5.9097220348609,2.4717052872511,1.66530127008875,5.98347054909378,3.73462553399419,4.41653794426176,6.21709033044977,2.58339739424474,2.69716836721476,5.68007350308351,1.01260106744985,1.12637204041987,5.68007350308351,5.72499004783454,5.83876102080455,5.68007350308351
128,-6.40148968016667,-6.45587,6.008751,0.309854080051667,0.1604415,5.60330625,0.28081599949,0.2559965,4.75792075,1.56757661084608,1.36694740811445,3.85303988456149,0.101609047511414,0.0993794428830419,0.0789159908808118,-1.15293485316667,-1.154405,0.382057725,2.70440557983945,2.52169952562366,6.08474751739697,3.60918426407331,4.0045743937533,5.95948466185312,3.2122963921698,3.49638049147058,6.01534705078819,0.812709813468584,0.851261294131318,5.93872292776526,5.52509879385327,5.56365027451601,5.93872292776526,3.95430246705838,3.99285394772111,5.93872292776526
129,-8.27489774021667,-8.282205,11.54347725,0.542937500382317,0.277703,8.92908475,-0.687389992895167,-0.692811,9.607049,2.82754928145369,2.56318077937496,6.45400460760531,1.1494914404661,1.12924221602245,0.825917215489735,0.0614190363252333,0.0607734,0.355091625,2.88995071811606,2.90358831041208,6.02108746710904,2.7852309629964,2.09971889151167,5.97770029476071,3.48999491495171,3.81813861684915,6.18665194829642,2.52902846790915,2.67169117083884,5.76557135683534,0.958232141114256,1.10089484404395,5.76557135683534,5.67062112149894,5.81328382442864,5.76557135683534
130,10.4912350916667,10.4421,10.7855635,-0.817523611773823,-0.5993575,8.5281795,3.10055497494433,3.09218,9.36404325,4.03507436557855,3.8640432751895,7.81585559696934,0.993874413082033,0.976474834648074,0.693481164700305,-0.01088995063755,-0.01190315,0.3462431,3.85999299494114,5.27517699930453,6.23884627794441,4.26106965704943,4.47480497238091,4.10002671752275,2.8557305433436,2.94089099040849,3.84561917066483,5.99941575291425,6.07576902873638,3.68335110173688,4.42861942611935,4.50497270194148,3.68335110173688,2.85782309932445,2.93417637514658,3.68335110173688
131,8.05514391003833,8.024805,13.97001575,-0.0720516542649832,0.00750438,9.805177,-0.373885847523333,-0.3257215,10.63891525,3.0354492754683,2.69465315243892,7.20611604866804,1.83667267301863,1.79895690552892,1.28645686550986,0.296273837966667,0.2936035,0.34418035,3.13459645318,3.13452016372955,6.11837689009817,3.0403486735723,2.71324007467818,5.84041681495333,3.15763479930632,3.14956968646721,6.16440350826739,3.11337889680952,3.10050431237662,6.11356828819663,1.54258257001462,1.52970798558173,6.11356828819663,6.25497155039931,6.24209696596642,6.11356828819663
132,6.95760995819167,7.07801,12.8290984,-0.593131268964167,-0.3478155,9.41206474999999,1.75551258653,1.74433,10.350428,3.3679687179499,3.09395096835698,7.41122011543798,1.10107283197163,1.07670946658017,0.849133334415508,0.038353589807145,0.0369548,0.380753725,3.57236557555626,4.37132330863542,6.21673119778137,3.87919445805687,4.29386303031003,5.45341605256392,2.93985825463352,2.96816911295576,5.71458405980093,5.97332951705975,6.06144803706632,5.66618235372238,4.40253319026486,4.49065171027143,5.66618235372238,2.83173686346996,2.91985538347653,5.66618235372238
133,16.77775395,16.7036,7.1071575,0.489336503947917,0.257389,6.9986955,2.35335648605417,2.30354,5.56491565,2.93264164816744,2.78859746081134,5.77704741915179,0.16380621078858,0.160372026054557,0.12628721880654,-0.9141772545,-0.9151295,0.381157675,2.63097161334003,0.909050353483998,6.22479026611861,4.68557320878776,4.80591895016212,3.60805561847369,3.22892141507329,3.26151246886363,3.01846232921029,0.117000671848053,0.121473771737329,3.02179186817958,4.82938965223274,4.83386275212202,3.02179186817958,3.25859332543785,3.26306642532712,3.02179186817958
134,19.9352997383333,19.9514,11.94292,-0.374168120232762,-0.2509615,8.89739775,1.70002885529117,1.72866,9.77417575,3.22197443793181,2.99218405553196,6.93137064917094,1.07852196586844,1.05652995164831,0.781392142227648,0.029518667747205,0.02749495,0.355004025,3.43552296264708,4.05213116848807,6.2116772789226,3.9235170215047,4.34850335336334,5.52282992952102,2.95485928664784,3.00960616583839,5.70626024337066,6.04205724710874,6.11806862797494,5.63662791402516,4.47126092031385,4.54727230118005,5.63662791402516,2.90046459351895,2.97647597438515,5.63662791402516
135,-8.13688486781667,-8.27003,11.63836525,0.827745324148455,0.4372965,9.010924,1.56732360937533,1.485705,9.79359825,3.1666846181907,2.78573432703292,7.79717070438033,0.86886702690846,0.853224139508131,0.628853013028541,-0.07849651604105,-0.0793665,0.3543217,2.68482989292336,1.98071600281331,6.2033781247014,3.99801562212389,4.63726207606183,5.89880924933232,3.41891537631217,3.43904005240431,5.85912027719033,0.420850600832528,0.398979282020504,5.54258351548893,5.13323958121722,5.11136826240519,5.54258351548893,3.56244325442232,3.5405719356103,5.54258351548893
136,4.90786198530167,4.8883,12.20250475,0.4781711872669,0.235457,9.86983725,-1.71535225900817,-1.63156,9.64294025,3.27755494772225,2.93699691968907,7.47188836450125,1.21431654406883,1.18776726921113,0.848630348267356,0.0891511540182167,0.08603765,0.3437424475,2.96264412988466,3.00389874668674,5.72730613981178,2.31861763589875,1.67127286527963,5.9361455405728,3.49147889323894,4.25398736333292,6.21699941639234,2.866799760891,2.95636689123846,5.69675426508788,1.29600343409611,1.38557056444357,5.69675426508788,6.0083924144808,6.09795954482825,5.69675426508788
137,-19.8387167966667,-19.86395,11.7000625,0.606791125638,0.307896,9.28807674999999,0.704198224015667,0.6683075,9.81888625,2.97096753009786,2.65607467994223,7.0726617254184,0.904922184345237,0.886586929554713,0.675704836693168,-0.05869280119405,-0.06018805,0.36691925,2.79429508058221,2.58199752490352,6.13306927993672,3.57236286112129,4.106318637657,5.92833305159737,3.30323309046376,3.43144271152369,6.04169799314325,0.639019709501894,0.653661576965138,5.82352642469251,5.35140868988658,5.36605055734983,5.82352642469251,3.78061236309169,3.79525423055493,5.82352642469251
138,22.40087625,22.3628,9.2181925,-1.08952432196573,-0.740231,8.6332795,-0.317200461583167,-0.266908,8.12462775,2.72332132368496,2.40487762671933,6.67455165780321,0.464151791260884,0.454232998521233,0.350565554841257,-0.392740670866667,-0.3945725,0.371435275,3.58537559423217,3.9718506500667,6.07872123059432,3.12041988150088,2.94656906303107,5.61785007599116,2.48895975812933,2.04720072735223,6.05889558657244,4.5205033360501,4.46622066105961,5.66581828874141,2.94970700925521,2.89542433426472,5.66581828874141,1.37891068246031,1.32462800746982,5.66581828874141
139,6.63479340804,6.62391,14.863109125,-0.5632273653295,-0.3881905,9.436403,2.80402631971833,2.725345,11.43473475,4.0124167758931,3.68796125787091,8.96160855370241,2.80226300830935,2.7519479327665,1.93432510583539,0.5076182205,0.5061545,0.34039415,3.61697499666597,4.76355650030965,6.232668969581,4.08193070939726,4.43554927712334,5.20469687817663,2.94676856390015,2.98436947168149,5.48107631408966,6.05183811165494,6.11001641031069,5.45786843808733,4.48104178486004,4.5392200835158,5.45786843808733,2.91024545806515,2.9684237567209,5.45786843808732
140,-2.20547242299833,-2.237565,14.17914125,-0.747067648137948,-0.4090635,9.4771195,1.359204340455,1.391865,10.43362675,3.30667690614015,3.01771530710478,7.38057903924717,1.91233901005417,1.86890743363533,1.36295011763491,0.316141900558333,0.312677,0.348195225,3.62011398644714,4.25294165611066,6.2128790680636,3.68713462972372,4.06848079525462,5.4729172413905,2.85670697162482,2.86638569975913,5.96839087237606,5.78790322855714,5.85977772533888,5.67023170370318,4.21710690176224,4.28898139854398,5.67023170370318,2.64631057496735,2.71818507174908,5.67023170370318
141,8.50966334704667,8.3824,13.3009539999999,-1.14681270882483,-0.937665,10.59936325,3.809155295365,3.75203,10.2739925,4.78828437521763,4.60890260964236,9.3503304278332,1.13298334271576,1.11542299459476,0.779971497745597,0.0549731547233333,0.05461685,0.3417048,4.13877387268695,5.46764876167843,6.24644545578941,4.27072076413772,4.4343584332769,3.44729224549091,2.81825776062804,2.89013733422488,3.09550897116986,5.94942219387365,6.02660182606611,3.07905070120166,4.37862586707876,4.45580549927122,3.07905070120166,2.80782954028386,2.88500917247632,3.07905070120166
142,17.46468875,17.63235,12.1683075,-1.34091495913267,-0.9667845,9.36334675,2.4763329950503,2.476945,9.4070505,3.86183931852781,3.7051461548279,7.66987274139791,0.951499617670801,0.935013884567518,0.635707684036429,-0.0321163511969833,-0.03359695,0.329459275,4.10339834537196,5.19953689701962,6.22289872103438,4.08350159189923,4.28815632312553,4.30556572950132,2.70853120717809,2.7790919913876,4.4105216391556,5.81551222722458,5.89855847131898,4.10534323217146,4.24471590042968,4.32776214452408,4.10534323217146,2.67391957363479,2.75696581772919,4.10534323217146
